Course Code Start End Location Days
CEE 4405A 16:30 18:30 SEB-3109 H
CEE 4405A 14:30 16:30 TC-205 T
CEE 4418A 13:30 15:30 HSB-11 M
CEE 4418A 13:30 14:30 UCC-37 H
CEE 4418A 08:30 10:30 SEB-1015 W
CEE 4426A 09:30 10:30 SSC-3024 M
CEE 4426A 17:30 18:30 SH-2355 T
CEE 4426A 14:30 15:30 TC-203 W
CEE 4426A 15:30 17:30 TC-203 W
CEE 4458A 08:30 09:30 SEB-3109 W
CEE 4458A 14:30 15:30 SEB-3109 H
CEE 4458A 14:30 16:30 SSC-3014 T
CEE 4465A 09:30 10:30 HSB-11 T
CEE 4465A 09:30 11:30 HSB-11 H
CEE 4465A 09:30 12:30 SEB-1056 W
CEE 4479A 13:30 16:30 SEB-1056 M
CEE 4479A 08:30 09:30 SEB-2099 H
CEE 4491A 12:30 14:30 SEB-2099 W
CEE 4491A 12:30 13:30 SEB-2099 F
CEE 4491A 11:30 13:30 TH-3101 M
CLASSICS 2301A 12:30 13:30 NS-7 MW
CLASSICS 2500A 10:30 11:30 AHB-1R40 TH
CLASSICS 2700A 09:30 10:30 SSC-2020 TH
CLASSICS 2800A 19:00 21:00 SH-2355 H
CLASSICS 2903A 13:30 14:30 P&AB-106 TH
CLASSICS 2908A 11:30 12:30 AHB-1R40 TH
CLASSICS 3150F 10:30 11:30 P&AB-34 MWF
CLASSICS 3211F 13:30 14:30 WSC-240 MWF
CLASSICS 3500F 09:30 10:30 VAC-100 MWF
CLASSICS 3903F 10:30 12:30 SSC-2020 T
CLASSICS 3903F 10:30 11:30 SSC-2020 H
COMMSCI 4411A 14:30 16:00 EC-1330 MW
COMMSCI 4417A 13:00 14:30 EC-1576 MW
COMMSCI 4417A 13:30 14:30 EC-1555 H
COMMSCI 4417A 14:30 15:30 EC-1555 H
COMMSCI 4417A 15:30 16:30 EC-1555 H
COMPLIT 2106A 09:30 10:30 UCC-58 M
COMPLIT 2106A 09:30 11:30 AH-101 W
COMPLIT 2131A 11:30 12:30 AHB-1B04 T
COMPLIT 2131A 10:30 12:30 AHB-1B04 H
COMPLIT 3340F 16:30 18:30 KB-K208 M
COMPLIT 3340F 16:30 17:30 SH-3307 W
COMPSCI 1026A 11:30 13:30 MC-110 T
COMPSCI 1026A 11:30 12:30 MC-110 H
COMPSCI 1026A 15:30 17:30 NCB-113 T
COMPSCI 1026A 15:30 16:30 NCB-113 H
COMPSCI 1026A 10:30 12:30 MC-235 M
COMPSCI 1026A 12:30 14:30 MC-235 M
COMPSCI 1026A 09:30 11:30 MC-235 T
COMPSCI 1026A 13:30 15:30 MC-235 T
COMPSCI 1026A 09:30 11:30 MC-235 W
COMPSCI 1026A 11:30 13:30 MC-235 W
COMPSCI 1026A 14:30 16:30 MC-235 W
COMPSCI 1026A 09:30 11:30 MC-235 H
COMPSCI 1026A 13:30 15:30 MC-235 H
COMPSCI 1026A 14:30 16:30 MC-235 M
COMPSCI 1026A 16:30 18:30 MC-235 M
COMPSCI 1026A 15:30 17:30 MC-235 T
COMPSCI 1026A 15:30 17:30 MC-235 H
COMPSCI 1026A 11:30 13:30 MC-235 T
COMPSCI 1026A 11:30 13:30 MC-235 H
COMPSCI 1026A 16:30 18:30 MC-235 W
COMPSCI 1026A 17:30 19:30 MC-235 T
COMPSCI 1026A 17:30 19:30 MC-235 H
COMPSCI 1026A 18:30 20:30 MC-235 M
COMPSCI 1026A 09:30 11:30 MC-235 F
COMPSCI 1027A 11:30 13:30 WSC-240 M
COMPSCI 1027A 11:30 12:30 WSC-240 W
COMPSCI 1027A 13:30 14:30 MC-235 W
COMPSCI 1027A 18:30 19:30 MC-235 W
COMPSCI 1032A 11:30 12:30 NSC-1 T
COMPSCI 1032A 10:30 12:30 NSC-1 H
COMPSCI 1032A 19:00 22:00 NCB-101 T
COMPSCI 1033A 19:00 21:00 MC-110 M
COMPSCI 1033A 10:30 12:30 NCB-101 F
COMPSCI 1033A 10:30 12:30 MC-230 M
COMPSCI 1033A 12:30 14:30 MC-230 M
COMPSCI 1033A 14:30 16:30 MC-230 M
COMPSCI 1033A 16:30 18:30 MC-230 M
COMPSCI 1033A 08:30 10:30 MC-230 T
COMPSCI 1033A 10:30 12:30 MC-230 T
COMPSCI 1033A 12:30 14:30 MC-230 T
